id,artist
639,The Beatles
640,The Blackwood Brothers Quartet
641,The Box Tops
642,The Byrds
643,The Cannonball Adderley Quintet
644,The Cars
645,The Carter Family
646,The Cats & The Fiddle
647,The Champs
648,The Chordettes
649,The Chords
650,The Chuck Wagon Gang
651,The Clash
652,The Coasters
653,The Crickets
654,The Crystals
655,The Delmore Brothers
656,The Dixie Hummingbirds
657,The Dominoes
658,The Doobie Brothers
659,The Doors
660,The Drifters
661,The Everly Brothers
662,The Five Satins
663,The Flamingos
664,The Harmonicats
665,The Hi-Lo's
666,The Horace Silver Quintet
667,The Impressions
668,The Ink Spots
669,The Isley Brothers
670,The Jackson 5
671,The Jimi Hendrix Experience
672,The John Barry Seven & Orchestra
673,The King Cole Trio
674,The Kingsmen
675,The Kinks
676,The Lovin' Spoonful
677,The Mamas & The Papas
678,The Marvelettes
679,The Meters
680,The Miracles
681,The Mississippi Sheiks
682,The Moody Blues
683,The Moonglows
684,The O'Jays
685,The Orioles
686,The Paul Butterfield Blues Band
687,The Platters
688,The Police
689,The Pretenders
690,The Ramsey Lewis Trio
691,The Righteous Brothers
692,The Rolling Stones
693,The Ronettes
694,The Shirelles
695,The Stanley Brothers & The Clinch Mountain Boys
696,The Staple Singers
697,The Supremes
698,The Surfaris
699,The Teenagers Featuring Frankie Lymon
700,The Temptations
701,The Tijuana Brass Featuring Herb Alpert
702,The Troggs
703,The Turtles
704,The Velvet Underground & Nico
705,The Ventures
706,The Weavers
707,The Who
708,The Young Rascals
709,The Zombies
710,Theatre De Lys Production With Lotte Lenya
711,Thelonious Monk
712,Thelonious Monk Featuring Coleman Hawkins & John Coltrane
713,Thelonious Monk Quintet
714,Thelonious Monk with John Coltrane
715,Them
716,"Thomas ""Fats"" Waller"
717,Thomas Alva Edison
718,Tina Turner
719,Tito Puente
720,Tom Petty
721,Tommy Dorsey & His Orchestra
722,"Tommy Dorsey & His Orchestra; Jack Leonard, Vocal"
723,Tommy Dorsey With Frank Sinatra & The Pied Pipers
724,Tony Bennett
725,Traffic
726,U2
727,Uncle Dave Macon
728,USA For Africa
729,Van Cliburn; Kiril Kondrashin cond. RCA Symphony Orchestra
730,Van Morrison
731,Various Artists
732,Vernon Dalhart
733,"Victor DeSabata cond. Orchestra & Chorus Of Teatro Alla Scala, Milan; Maria Callas, Giuseppe DiStefano, Tito Gobbi"
734,Village People
735,Vince Guaraldi Trio
736,Vladimir Horowitz
737,Vladimir Horowitz With Eugene Ormandy cond. New York Philharmonic Orchestra
738,"Vladimir Horowitz, Arturo Toscanini cond. NBC Orchestra"
739,W.C. Handy
740,W.H. Stepp
741,Walter Gieseking
742,Walter Huston
743,Wanda Jackson
744,Wanda Landowska
745,War
746,"Waylon Jennings, Willie Nelson, Jessi Colter, Tompall Glaser"
747,Weather Report
748,Wendy Carlos
749,Wes Montgomery
750,Whitney Houston
751,Wilbert Harrison
752,"Wilhelm Furtwängler cond. Philharmonia Orchestra, Chorus Of Royal Opera House, Covent Garden/Flagstad, Thebom, Suthaus, Fischer-Dieskau"
753,William Bell
754,William Kapell With Serge Koussevitzky cond. Boston Symphony Orchestra
755,"Willie Mae ""Big Mama"" Thornton"
756,Willie Nelson
757,Willie Nelson & Merle Haggard
758,Wilson Pickett
759,Woody Guthrie
760,Woody Herman & His Orchestra
761,Wynonie Harris
762,Yehudi Menuhin with Sir Edward Elgar cond. London Symphony Orchestra
